T_K,P_atm,solver_used,iterations,residual_norm,n_Ar,n_Ar_p,n_Ar2_p,n_Ar3_p,n_Ar4_p,n_e,charge_residual,eos_residual_Pa,deltaP_DH_Pa
300.0,0.1,custom_newton,3,1.5991915125329626e-11,2.446313291831604e+24,6.610997513566557e-108,0.0,0.0,0.0,6.610997513566557e-108,0.0,1.6203739505726844e-07,1.5466433816564025e-192
500.0,0.1,custom_newton,5,1.5297275436503759e-10,1.4677879753000208e+24,6.719532220399253e-55,2.199525514609607e-253,0.0,0.0,6.719532220399253e-55,0.0,1.5499917935812846e-06,3.882164045413266e-113
700.0,0.1,custom_newton,5,3.3243270094106776e-13,1.0484199821971142e+24,3.635861579083959e-32,1.3842647120452689e-173,0.0,0.0,3.635861579083959e-32,0.0,3.245077095925808e-09,4.1296411557580764e-79
900.0,0.1,custom_newton,5,1.6122650610563965e-13,8.154377639308334e+23,1.5853201552260402e-19,3.3085182698873905e-129,1.526122506117e-312,0.0,1.5853201552260402e-19,0.0,7.09405867382884e-11,3.315923793971295e-60
1100.0,0.1,custom_newton,5,8.786042417766256e-14,6.671763523070412e+23,1.7781485290627637e-11,6.148402457282836e-101,9.752286519938319e-251,0.0,1.7781485290627637e-11,0.0,5.4569682106375694e-12,3.5629196946765044e-48
1300.0,0.1,custom_newton,4,3.770654182011907e-09,5.6453383869615794e+23,6.72066430484604e-06,2.392496693848205e-81,6.410412968763833e-208,0.0,6.72066430484604e-06,0.0,3.8206153476494364e-05,7.615474225032442e-40
1500.0,0.1,custom_newton,4,1.1303475833967168e-09,4.892626589115334e+23,0.08331486853018273,5.737575928212449e-67,1.691770895080585e-176,0.0,0.08331486853018273,0.0,1.1453246770543046e-05,9.785622649818316e-34
1700.0,0.1,custom_newton,4,3.969160171014607e-10,4.317023457817877e+23,113.04569909300676,5.8283887868263495e-56,1.876588491187062e-152,1.144453394502917e-304,113.04569909300676,0.0,4.021751010441221e-06,4.594168601674909e-29
1900.0,0.1,custom_newton,4,1.5735747519247682e-10,3.862599935016993e+23,33736.56662333371,2.9062230352883703e-47,1.861085254602425e-133,1.9048495159035298e-269,33736.56662333371,0.0,1.5944260667311028e-06,2.240396301527147e-25
2100.0,0.1,custom_newton,4,6.867679229943272e-11,3.494733274229268e+23,3411592.301756894,3.2433074617959088e-40,4.5587179141061105e-118,6.456105602698299e-241,3411592.301756894,0.0,6.958671292522922e-07,2.167087092377427e-22
2300.0,0.1,custom_newton,4,3.240397249899632e-11,3.190843424180545e+23,154979574.40158725,2.1797618657590797e-34,2.4030963608884226e-105,2.470775733924797e-217,154979574.40158725,0.0,3.2833304430823773e-07,6.34012911112184e-20
