T_K,Q_Ar,Q_Ar_p,Q_Ar2_p,Q_Ar3_p,Q_Ar4_p,Q_e
300.000000,1.0000000000000000e+00,4.0020857747580134e+00,5.0150122762300624e+00,4.0000000000000000e+00,1.0774624835515088e+00,2.0000000000000000e+00
500.000000,1.0000000000000000e+00,4.0325066670241059e+00,5.1331526386067647e+00,4.0000000000000000e+00,1.3482328517911897e+00,2.0000000000000000e+00
700.000000,1.0000000000000000e+00,4.1054706793882234e+00,5.3446912775165609e+00,4.0000000000000000e+00,1.7021840059806475e+00,2.0000000000000000e+00
900.000000,1.0000000000000000e+00,4.2028192315394071e+00,5.5881965618736409e+00,4.0000000000000204e+00,2.0807490749805670e+00,2.0000000000000000e+00
1100.000000,1.0000000000000000e+00,4.3074836424147307e+00,5.8286578780846732e+00,4.0000000000094840e+00,2.4575158135972632e+00,2.0000000000000000e+00
1300.000000,1.0000000000000000e+00,4.4101388759365658e+00,6.0519910153760090e+00,4.0000000006706431e+00,2.8185048705352980e+00,2.0000000000000000e+00
1500.000000,1.0000000000000000e+00,4.5066143393271769e+00,6.2541197544724083e+00,4.0000000152347344e+00,3.1569722272518144e+00,2.0000000000000000e+00
1700.000000,1.0000000000000000e+00,4.5954380692059447e+00,6.4351836750775853e+00,4.0000001659839031e+00,3.4704921972526805e+00,2.0000000000000000e+00
1900.000000,1.0000000000000000e+00,4.6764339186660031e+00,6.5969273923748437e+00,4.0000010938367536e+00,3.7590460529041851e+00,2.0000000000000000e+00
2100.000000,1.0000000000000000e+00,4.7500045733367902e+00,6.7415787703368162e+00,4.0000050336090025e+00,4.0238543054452389e+00,2.0000000000000000e+00
2300.000000,1.0000000000000000e+00,4.8167787695735385e+00,6.8713833437551708e+00,4.0000177638499714e+00,4.2667055206516613e+00,2.0000000000000000e+00
2500.000000,1.0000000000000000e+00,4.8774421341120986e+00,6.9884228252368921e+00,4.0000512387609994e+00,4.4895864665316614e+00,2.0000000000000000e+00
2700.000000,1.0000000000000000e+00,4.9326593349123886e+00,7.0945552627816220e+00,4.0001263400716587e+00,4.6944856975488145e+00,2.0000000000000000e+00
2900.000000,1.0000000000000000e+00,4.9830413743999342e+00,7.1914064779301459e+00,4.0002750877651723e+00,4.8832941573313136e+00,2.0000000000000000e+00
3100.000000,1.0000000000000000e+00,5.0291349464224000e+00,7.2803824066094949e+00,4.0005418226801899e+00,5.0577591912391711e+00,2.0000000000000000e+00
3300.000000,1.0000000000000000e+00,5.0714222707718459e+00,7.3626892358716356e+00,4.0009831739101491e+00,5.2194676339992210e+00,2.0000000000000000e+00
3500.000000,1.0000000000000002e+00,5.1103255797559015e+00,7.4393556626098380e+00,4.0016669013236577e+00,5.3698445090989599e+00,2.0000000000000000e+00
3700.000000,1.0000000000000016e+00,5.1462133475611633e+00,7.5112548063022677e+00,4.0026698810907586e+00,5.5101598895522077e+00,2.0000000000000000e+00
3900.000000,1.0000000000000111e+00,5.1794068415331074e+00,7.5791247098930556e+00,4.0040755701927671e+00,5.6415397745153184e+00,2.0000000000000000e+00
4100.000000,1.0000000000000628e+00,5.2101863366033516e+00,7.6435869959314715e+00,4.0059712715159455e+00,5.7649786593676016e+00,2.0000000000000000e+00
4300.000000,1.0000000000002927e+00,5.2387967224231335e+00,7.7051635460470953e+00,4.0084454603107398e+00,5.8813524943206277e+00,2.0000000000000000e+00
4500.000000,1.0000000000011995e+00,5.2654524270892180e+00,7.7642912239246904e+00,4.0115853556198715e+00,5.9914313043811287e+00,2.0000000000000000e+00
4700.000000,1.0000000000043974e+00,5.2903416746384053e+00,7.8213347423185997e+00,4.0154748462424044e+00,6.0958910782769831e+00,2.0000000000000000e+00
4900.000000,1.0000000000145299e+00,5.3136301343603760e+00,7.8765978168547841e+00,4.0201928197667849e+00,6.1953247317126037e+00,2.0000000000000000e+00
5100.000000,1.0000000000437967e+00,5.3354640340655237e+00,7.9303327691320726e+00,4.0258118982484214e+00,6.2902520687330279e+00,2.0000000000000000e+00
5300.000000,1.0000000001221128e+00,5.3559728102983408e+00,7.9827487472790173e+00,4.0323975543631656e+00,6.3811287360726361e+00,2.0000000000000000e+00
5500.000000,1.0000000003176628e+00,5.3752713632516294e+00,8.0340187286999285e+00,4.0400075646645925e+00,6.4683542074232871e+00,2.0000000000000000e+00
5700.000000,1.0000000007769589e+00,5.3934619765301983e+00,8.0842854606448569e+00,4.0486917487607021e+00,6.5522788583654838e+00,2.0000000000000000e+00
5900.000000,1.0000000017984649e+00,5.4106359538160271e+00,8.1336664818540765e+00,4.0584919418888097e+00,6.6332102048643273e+00,2.0000000000000000e+00
6100.000000,1.0000000039622441e+00,5.4268750167995607e+00,8.1822583545527152e+00,4.0694421511206409e+00,6.7114183829183505e+00,2.0000000000000000e+00
6300.000000,1.0000000083490697e+00,5.4422525018448011e+00,8.2301402216796369e+00,4.0815688504781198e+00,6.7871409468854971e+00,2.0000000000000000e+00
6500.000000,1.0000000168975904e+00,5.4568343868607228e+00,8.2773767902063931e+00,4.0948913763226553e+00,6.8605870610072968e+00,2.0000000000000000e+00
6700.000000,1.0000000329676140e+00,5.4706801747396296e+00,8.3240208282221992e+00,4.1094223906664338e+00,6.9319411539262346e+00,2.0000000000000000e+00
6900.000000,1.0000000622018299e+00,5.4838436554139998e+00,8.3701152513992625e+00,4.1251683860373785e+00,7.0013661003624827e+00,2.0000000000000000e+00
7100.000000,1.0000001138073753e+00,5.4963735649779979e+00,8.4156948636296054e+00,4.1421302109339706e+00,7.0690059881314333e+00,2.0000000000000000e+00
7300.000000,1.0000002024124797e+00,5.5083141573151737e+00,8.4607878070568852e+00,4.1603035996106774e+00,7.1349885227013106e+00,2.0000000000000000e+00
7500.000000,1.0000003506904436e+00,5.5197057011761181e+00,8.5054167683687574e+00,4.1796796939163414e+00,7.1994271157368166e+00,2.0000000000000000e+00
7700.000000,1.0000005929834486e+00,5.5305849135749252e+00,8.5495999809809984e+00,4.2002455482019512e+00,7.2624226986851923e+00,2.0000000000000000e+00
7900.000000,1.0000009801987750e+00,5.5409853386497163e+00,8.5933520565303354e+00,4.2219846109867394e+00,7.3240652975068787e+00,2.0000000000000000e+00
8100.000000,1.0000015862894875e+00,5.5509376796994001e+00,8.6366846737859824e+00,4.2448771792019411e+00,7.3844354001628547e+00,2.0000000000000000e+00
