T_K,P_atm,mpp_rho_kg_m3,mpp_h_J_kg,mpp_cp_J_kgK,mpp_mu_Pa_s,mpp_kappa_W_mK,mpp_sigma_S_m
300.0,0.1,0.162277,962.612,520.331,2.269e-05,0.0177094,2.93225e-124
500.0,0.1,0.0973659,105029.0,520.331,3.39289e-05,0.0264813,3.84736e-71
700.0,0.1,0.0695471,209095.0,520.331,4.23704e-05,0.0330699,2.46311e-48
900.0,0.1,0.0540922,313161.0,520.331,5.08628e-05,0.0396982,1.21784e-35
1100.0,0.1,0.0442572,417227.0,520.331,5.85734e-05,0.0457163,1.42676e-27
1300.0,0.1,0.0374484,521294.0,520.331,6.5121e-05,0.0508267,5.27925e-22
1500.0,0.1,0.0324553,625360.0,520.331,7.15754e-05,0.0558643,6.39533e-18
1700.0,0.1,0.028637,729426.0,520.331,7.80092e-05,0.0608859,8.47273e-15
1900.0,0.1,0.0256226,833492.0,520.331,8.44787e-05,0.0659353,2.46871e-12
2100.0,0.1,0.0231824,937558.0,520.331,9.045e-05,0.0705959,2.35755e-10
2300.0,0.1,0.0211665,1041620.0,520.331,9.58137e-05,0.0747822,9.85294e-09
2500.0,0.1,0.0194732,1145690.0,520.331,0.000101126,0.0789285,2.25838e-07
2700.0,0.1,0.0180307,1249760.0,520.331,0.000106407,0.0830502,3.24757e-06
2900.0,0.1,0.0167872,1353820.0,520.331,0.000111674,0.0871608,3.2257e-05
3100.0,0.1,0.0157042,1457890.0,520.331,0.000116941,0.0912717,0.000237701
3300.0,0.1,0.0147524,1561960.0,520.331,0.000122221,0.095393,0.00137243
3500.0,0.1,0.0139094,1666020.0,520.331,0.000127526,0.099534,0.00647443
3700.0,0.1,0.0131576,1770090.0,520.332,0.000132868,0.103703,0.0257876
3900.0,0.1,0.0124828,1874150.0,520.334,0.000138255,0.107909,0.0889961
4100.0,0.1,0.0118739,1978220.0,520.34,0.000143364,0.111901,0.272485
4300.0,0.1,0.0113216,2082290.0,520.356,0.000148156,0.115651,0.752143
4500.0,0.1,0.0108184,2186370.0,520.394,0.000152955,0.119423,1.88897
