T_K,rho_kg_m3,h_J_kg,cp_J_kgK
300.0,6.491068139723585,156099.1162298976,520.330387432992
500.0,3.8946408843685534,260165.193716496,520.330387432992
700.0,2.7818863455528775,364231.2712030944,520.330387432992
900.0,2.1636893798737673,468297.3486896928,520.330387432992
1100.0,1.7702913108058107,572363.4261762912,520.330387432992
1300.0,1.497938807099279,676429.5036628896,520.3303874329918
1500.0,1.298213629391693,780495.5811494879,520.330387432992
1700.0,1.1454826133290077,884561.6586360864,520.3303874329918
1900.0,1.024905495890956,988627.7361226846,520.330387432992
2100.0,0.9272954485810125,1092693.8136092832,520.3303874330002
2300.0,0.8466610617171697,1196759.8910958846,520.3303874331963
2500.0,0.7789281767672573,1300825.9685825617,520.3303874363779
2700.0,0.721229793297483,1404892.0460704358,520.330387471437
2900.0,0.6714898075500091,1508958.1235711365,520.3303877531964
3100.0,0.6281678844791909,1613024.2011717143,520.3303894996835
3300.0,0.5900971035904604,1717090.27937101,520.3303982202301
3500.0,0.5563772690491223,1821156.3604598064,520.3304345212475
3700.0,0.5263028218734522,1925222.453179509,520.3305640155002
3900.0,0.4993129328845667,2029288.5860660064,520.3309688284446
4100.0,0.47495620236562286,2133354.8407108868,520.332098380797
4300.0,0.45286521053220724,2237421.4254183252,520.3349547393806
4500.0,0.43273785376918383,2341488.822606639,520.3415843543329
4700.0,0.4143234448545943,2445558.0591600584,520.3558591256291
4900.0,0.3974122154061706,2549631.1662568906,520.3846316148877
5100.0,0.3818272858659487,2653711.9118060134,520.4393395526707
5300.0,0.3674184504052243,2757806.902077959,520.5381135940005
5500.0,0.35405731393655776,2861927.1572436136,520.7084116625903
5700.0,0.3416334483467135,2966090.266742995,520.9901668425265
5900.0,0.3300513254160222,3070323.223980624,521.4393981252774
6100.0,0.31922784763896006,3174666.025993106,522.1321986495308
6300.0,0.30909034374377925,3279176.1034404365,523.1689878829138
6500.0,0.29957492870362534,3383933.6211462715,524.6788948234671
6700.0,0.2906251521814654,3489047.6613698234,526.8241297523235
6900.0,0.2821908772072826,3594663.273047201,529.8042022483284
7100.0,0.27422734421011435,3700969.3422691547,533.8598519404302
7300.0,0.26669438555335945,3808207.213823373,539.276574147552
7500.0,0.25955576332408414,3916679.9719281755,546.3876430637692
7700.0,0.25277860893349186,4026762.2710488806,555.5765582812274
7900.0,0.24633294755176052,4138910.5952406665,567.2788642204379
8100.0,0.24019129385956509,4253673.816737056,581.9833145392919
8300.0,0.23432830829709508,4371703.921056383,600.2323732518474
8500.0,0.2287205051120343,4493766.766037795,622.6220598155237
8700.0,0.2233460051871201,4620752.744982593,649.8011557383719
8900.0,0.21818432796725865,4753687.2283331435,682.4697944203275
9100.0,0.21321621788149636,4893740.662750724,721.3774531841115
9300.0,0.2084235015225825,5042238.209606788,767.3203559957444
9500.0,0.20378897254773148,5200668.805149022,821.1382764313487
9700.0,0.19929630182831817,5370693.520179328,883.7107021639775
9900.0,0.1949299708249202,5554153.086014613,955.9522836510419
10100.0,0.19067522651179267,5753074.433639744,1038.8074398399099
10300.0,0.18651805643118063,5969676.0619505765,1133.2439315697038
10500.0,0.18244518262827686,6206372.006267626,1240.245138125983
10700.0,0.17844407330521983,6465774.11720097,1360.8006836607935
10900.0,0.17450297103770196,6750692.279731943,1495.8949582068367
11100.0,0.17061093632028476,7064132.100483704,1646.4929642973514
11300.0,0.16675790504477875,7409289.465450884,1813.522798171551
11500.0,0.16293475826894183,7789541.219752325,1997.8539504032256
11700.0,0.15913340229964582,8208431.045612174,2200.270495066964
11900.0,0.15534685669680057,8669649.41777911,2421.4381453109977
12100.0,0.15156934730590774,9177006.303736573,2661.8641101726703
12300.0,0.14779640085696225,9734395.061848179,2921.8487265609206
12500.0,0.14402493704092617,10345745.794360941,3201.428006625315
12700.0,0.14025335331659888,11014966.264498305,3500.3065926842205
12900.0,0.13648159704685062,11745868.43143463,3817.781220311164
13100.0,0.13271121896504945,12542078.75262277,4152.6557332447355
13300.0,0.12894540149920328,13406930.724732524,4503.1500478139005
13500.0,0.12518895522130027,14343338.77174833,4866.807284388566
13700.0,0.12144827675030605,15353653.63848795,5240.4055719005455
13900.0,0.11773126194226007,16439501.000508549,5619.883697901369
14100.0,0.11404716927850124,17601607.117648497,6000.292584136338
14300.0,0.11040643013065182,18839618.034163084,6375.787082866179
14500.0,0.1068204051187224,20151921.95079497,6739.674153094878
14700.0,0.1033010890957312,21535487.695401035,7084.533226671787
14900.0,0.09986077128736053,22985735.241463684,7402.421561142588
15100.0,0.09651166154152671,24496456.31985807,7685.17079285739
15300.0,0.09326549808686671,26059803.55860664,7924.770437181136
15500.0,0.09013315609275022,27666364.494730525,8113.820313011314
15700.0,0.08712427899968767,29305331.683811165,8246.018573984215
15900.0,0.08424695539209519,30964771.92432421,8316.638192640412
16100.0,0.08150746261995502,32631986.96086733,8322.93608831021
16300.0,0.07891009426657268,34293946.359648295,8264.439096764121
16500.0,0.0764570821687672,35937762.59957298,8143.061626424677
16700.0,0.0741486157487296,37551171.010218166,7963.030520916358
16900.0,0.07198295300138238,39122974.80793952,7730.619808597508
17100.0,0.06995660983270346,40643418.93365717,7453.725922771282
17300.0,0.06806460867063222,42104465.177048035,7141.336342530474
17500.0,0.06630076410177262,43499953.47066936,6802.956600911729
17700.0,0.0646579829343557,44825647.81741273,6448.060319164526
17900.0,0.06312855824274488,46079177.59833517,6085.615724030566
18100.0,0.06170444091853262,47259894.10702495,5723.723851177767
18300.0,0.060377477168684524,48368667.138806276,5369.383187088799
18500.0,0.05913960542516321,49407647.38186047,5028.377178503964
18700.0,0.0579830106108726,50380018.01020786,4705.26763819769
18900.0,0.05690023724701545,51289754.43713955,4403.469587579053
19100.0,0.05588426534141797,52141405.84523948,4125.380998975579
19300.0,0.054928554416482415,52939906.83672978,3872.5428526258283
19500.0,0.05402706159159884,53690422.986289814,3645.8092600903474
19700.0,0.053174239552263254,54398230.54076592,3445.51266029818
19900.0,0.05236501974021028,55068628.050409086,3271.6142014365087
20100.0,0.05159478537660477,55706876.22134052,3123.8337557907776
20300.0,0.0508593381288891,56318161.5527254,3001.757319242172
20500.0,0.050154861449949475,56907579.14903739,2904.921821361035
20700.0,0.04947788291452778,57480130.28126981,2832.878758999575
20900.0,0.04882523728030065,58040730.65263722,2785.2387683021834
21100.0,0.04819403151639822,58594225.788590685,2761.6994725303166
21300.0,0.047581612663609364,59145410.44164935,2762.0588657612166
21500.0,0.04698553910384965,59699049.33489517,2786.2162581896223
21700.0,0.0464035556040945,60259896.9449252,2834.1625228114985
21900.0,0.04583357234374684,60832714.34401977,2905.9611184616947
22100.0,0.04527364801705285,61422281.392309874,3001.7211674182677
22300.0,0.04472197700842094,62033402.81098708,3121.563762764353
22500.0,0.0441768805554331,62670906.897415616,3265.5826803811638
22700.0,0.04363680173201111,63339635.88313954,3433.800767639652
22900.0,0.043100303995845066,64044427.20447148,3626.123456812147
23100.0,0.042566072946654085,64790085.2658644,3842.2910759443416
23300.0,0.04203292083581596,65581343.63484921,4081.8318633033896
23500.0,0.04149979325795596,66422818.01118576,4344.017787029874
23700.0,0.04096577734933046,67318950.74966116,4627.825381763745
23900.0,0.0404301107271668,68273948.16389126,4931.903797288276
24100.0,0.039892190340750325,69291712.26857647,5254.552082898915
24300.0,0.039351580380720716,70375768.99705082,5593.707397290431
24500.0,0.03880801841702762,71529195.22749265,5946.945354183615
24700.0,0.0382614190130943,72754547.13872427,6311.493128941693
24900.0,0.03771187419295152,74053792.47906932,6684.25531834796
25100.0,0.03715965031223827,75428249.26606345,7061.851930127927
25300.0,0.03660518109018508,76878533.2511205,7440.667341284342
25500.0,0.03604905678125752,78404516.20257719,7816.908648293764
25700.0,0.035492009683688826,80005296.710438,8186.671557622663
25900.0,0.03493489638030913,81679184.82562625,8546.01182551548
26100.0,0.03437867727068086,83423701.44064419,8891.020223283806
26300.0,0.0338243940730782,85235592.91493978,9217.899037771374
26500.0,0.033273146046060666,87110861.05575274,9523.03817458924
