T_K,P_atm,pair,category,interaction,lambda_D_m,Tstar,Q11_m2,Q22_m2,Q14_m2,Q15_m2,Q11_A2,Q22_A2,Q14_A2,Q15_A2,Ast,Bst,Cst,source,notes
300.0,0.1,Ar+__Ar+,charged-charged,repulsion,0.00011952706071189929,2145.8955726562253,3.6133421940315644e-14,3.852922786541607e-14,4.501117441026759e-15,3.082295456244284e-15,3613342.1940315645,3852922.786541607,450111.7441026759,308229.5456244284,1.0676667934753976,1.0907450159643233,0.3788222492697231,Mason1967 table + Debye-Huckel screening,
500.0,0.1,Ar+__Ar+,charged-charged,repulsion,0.0001543087718527696,4617.23211977655,1.4351656797455237e-14,1.521239544239857e-14,1.7549165642985052e-15,1.1991857887276688e-15,1435165.6797455237,1521239.544239857,175491.65642985053,119918.57887276687,1.0612109948615616,1.082059637416843,0.37452947596464653,Mason1967 table + Debye-Huckel screening,
700.0,0.1,Ar+__Ar+,charged-charged,repulsion,0.00018258060110262027,7648.455807352704,7.77381627203653e-15,8.212380031847633e-15,9.405708464799238e-16,6.419270783409155e-16,777381.627203653,821238.0031847634,94057.08464799238,64192.70783409155,1.0569586690233248,1.07633872482004,0.37170189847427265,Mason1967 table + Debye-Huckel screening,
900.0,0.1,Ar+__Ar+,charged-charged,repulsion,0.00018566771877587485,10000.0,4.847768369274549e-15,5.1128832402167125e-15,5.835126326129005e-16,3.9799720208842047e-16,484776.8369274549,511288.32402167126,58351.26326129005,39799.720208842045,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
1100.0,0.1,Ar+__Ar+,charged-charged,repulsion,0.0001519099517257158,10000.0,3.2452003133160205e-15,3.4226739046078826e-15,3.9061589455904916e-16,2.66427879083984e-16,324520.0313316021,342267.3904607883,39061.58945590492,26642.7879083984,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
1300.0,0.1,Ar+__Ar+,charged-charged,repulsion,0.00012853918992175952,10000.0,2.3234866148593994e-15,2.4505535056659987e-15,2.7967173515766243e-16,1.907560554388288e-16,232348.66148593993,245055.35056659987,27967.173515766244,19075.60554388288,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
1500.0,0.1,Ar+__Ar+,charged-charged,repulsion,0.0001114006312655249,10000.0,1.7451966129388375e-15,1.8406379664780163e-15,2.1006454774064416e-16,1.4327899275183136e-16,174519.66129388375,184063.79664780165,21006.454774064416,14327.899275183136,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
1700.0,0.1,Ar+__Ar+,charged-charged,repulsion,9.829467464605139e-05,10000.0,1.358717086198057e-15,1.4330226382614315e-15,1.6354506311987868e-16,1.1154938882062997e-16,135871.7086198057,143302.26382614314,16354.506311987869,11154.938882062997,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
1900.0,0.1,Ar+__Ar+,charged-charged,repulsion,8.794786678857229e-05,10000.0,1.0877264208067543e-15,1.1472120289682924e-15,1.309266571790718e-16,8.930131127191704e-17,108772.64208067543,114721.20289682924,13092.66571790718,8930.131127191704,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
2100.0,0.1,Ar+__Ar+,charged-charged,repulsion,7.957187947537492e-05,10000.0,8.90406435172876e-16,9.3910100330511e-16,1.0717578966359392e-16,7.310152691419965e-17,89040.6435172876,93910.100330511,10717.578966359391,7310.152691419965,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
2300.0,0.1,Ar+__Ar+,charged-charged,repulsion,7.265258560795102e-05,10000.0,7.42285893972095e-16,7.828800424528422e-16,8.934692484242895e-17,6.094097045210216e-17,74228.58939720951,78288.00424528422,8934.692484242896,6094.097045210216,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
2500.0,0.1,Ar+__Ar+,charged-charged,repulsion,6.684037875931494e-05,10000.0,6.282707806579815e-16,6.626296679320859e-16,7.56232371866319e-17,5.158043739065929e-17,62827.07806579815,66262.96679320859,7562.32371866319,5158.043739065929,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
2700.0,0.1,Ar+__Ar+,charged-charged,repulsion,6.188923959195828e-05,10000.0,5.386409299193942e-16,5.680981378018569e-16,6.483473695698893e-17,4.4221911343157825e-17,53864.092991939426,56809.81378018569,6483.473695698894,4422.191134315783,1.0547,1.0733,0.3702,Mason1967 table + Debye-Huckel screening,
