T_K,P_atm,pair,interaction,lambda_D_m,Tstar,Q11_m2,Q22_m2,Q11_A2,Q22_A2,Ast,Bst,Cst,source
300.0,0.1,e-__e-,repulsion,0.00011952706071189929,2145.8955726562253,3.6133421940315644e-14,3.852922786541607e-14,3613342.1940315645,3852922.786541607,1.0676667934753976,1.0907450159643233,0.3788222492697231,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,e-__Ar+,attraction,0.00011952706071189929,2145.8955726562253,3.615362767254524e-14,3.8516198416588135e-14,3615362.767254524,3851619.8416588134,1.0665636889261338,1.0895082331318082,0.3784212144199685,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,e-__Ar2+,attraction,0.00011952706071189929,1072.9477863281127,1.3115285846483502e-13,1.4055384855578735e-13,13115285.846483503,14055384.855578735,1.07186181684982,1.09676305602731,0.3821238833666355,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,e-__Ar3+,attraction,0.00011952706071189929,715.2985242187417,2.774938151459835e-13,2.984646733376269e-13,27749381.51459835,29846467.33376269,1.0755892333795598,1.1020560476850854,0.3849169250346698,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,e-__Ar4+,attraction,0.00011952706071189929,536.4738931640563,4.71258391688926e-13,5.081953133993876e-13,47125839.16889259,50819531.33993876,1.0784316342375104,1.1061836509387353,0.38708322672195944,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,Ar+__Ar+,repulsion,0.00011952706071189929,2145.8955726562253,3.6133421940315644e-14,3.852922786541607e-14,3613342.1940315645,3852922.786541607,1.0676667934753976,1.0907450159643233,0.3788222492697231,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,Ar+__Ar2+,repulsion,0.00011952706071189929,1072.9477863281127,1.3102861085131873e-13,1.4062943915358446e-13,13102861.085131872,14062943.915358447,1.0735067753912788,1.0986018988511532,0.3827055362137884,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,Ar+__Ar3+,repulsion,0.00011952706071189929,715.2985242187417,2.769528314689403e-13,2.9874247209105207e-13,27695283.14689403,29874247.20910521,1.0787116524535938,1.1054784667591193,0.38595033218743263,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,Ar+__Ar4+,repulsion,0.00011952706071189929,536.4738931640563,4.697310096676481e-13,5.088766920215653e-13,46973100.96676481,50887669.20215653,1.0834424617945313,1.1114392768256334,0.3888144367426943,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,Ar2+__Ar2+,repulsion,0.00011952706071189929,536.4738931640563,4.697310096676481e-13,5.088766920215653e-13,46973100.96676481,50887669.20215653,1.0834424617945313,1.1114392768256334,0.3888144367426943,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,Ar2+__Ar3+,repulsion,0.00011952706071189929,357.64926210937085,9.846656131482687e-13,1.0743370519726817e-12,98466561.31482686,107433705.19726817,1.0913671271064065,1.1210707634438917,0.39350152717544523,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,Ar2+__Ar4+,repulsion,0.00011952706071189929,268.23694658202817,1.6586588312138866e-12,1.8202494846918347e-12,165865883.12138867,182024948.46918347,1.09796622334494,1.1287074534306225,0.3973613759187385,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,Ar3+__Ar3+,repulsion,0.00011952706071189929,238.43284140624723,2.0516418210212267e-12,2.257281895444713e-12,205164182.10212266,225728189.5444713,1.1006680308678727,1.131834073457161,0.398941678432152,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,Ar3+__Ar4+,repulsion,0.00011952706071189929,178.82463105468543,3.440139292443775e-12,3.809391171229849e-12,344013929.2443775,380939117.1229849,1.1077353452578893,1.1399712725023734,0.4031567271524323,Mason1967 Table I/II + electron-only Debye length
300.0,0.1,Ar4+__Ar4+,repulsion,0.00011952706071189929,134.11847329101408,5.745886486480798e-12,6.405441074181587e-12,574588648.6480799,640544107.4181587,1.1155380502443315,1.1488945787368685,0.40792965839413897,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,e-__e-,repulsion,0.0001543087718527696,4617.2321197765505,1.4351656797455234e-14,1.5212395442398563e-14,1435165.6797455235,1521239.5442398563,1.0612109948615616,1.082059637416843,0.37452947596464653,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,e-__Ar+,attraction,0.0001543087718527696,4617.2321197765505,1.4354610523762254e-14,1.5210040158277602e-14,1435461.0523762254,1521004.0158277603,1.060706881936262,1.0814884008331769,0.3743281049895467,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,e-__Ar2+,attraction,0.0001543087718527696,2308.6160598882752,5.257224729392447e-14,5.5976220393306954e-14,5257224.7293924475,5597622.039330696,1.066005009859948,1.0887432237286787,0.3780307739362137,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,e-__Ar3+,attraction,0.0001543087718527696,1539.07737325885,1.1190916139417281e-13,1.1954474493136485e-13,11190916.139417281,11954474.493136484,1.069104216019328,1.0929870230719207,0.38019669642259857,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,e-__Ar4+,attraction,0.0001543087718527696,1154.3080299441376,1.909042099711997e-13,2.0444912061401395e-13,19090420.99711997,20444912.061401393,1.0713031377836342,1.0959980466241808,0.3817334428828807,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,Ar+__Ar+,repulsion,0.0001543087718527696,4617.2321197765505,1.4351656797455234e-14,1.5212395442398563e-14,1435165.6797455235,1521239.5442398563,1.0612109948615616,1.082059637416843,0.37452947596464653,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,Ar+__Ar2+,repulsion,0.0001543087718527696,2308.6160598882752,5.254479950224115e-14,5.599409173868551e-14,5254479.950224115,5599409.173868551,1.0670509767774428,1.089916520303673,0.3784127629087119,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,Ar+__Ar3+,repulsion,0.0001543087718527696,1539.07737325885,1.1182682839508804e-13,1.1959607733295164e-13,11182682.839508804,11959607.733295163,1.070467147203123,1.0945125021650262,0.3806843401505302,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,Ar+__Ar4+,repulsion,0.0001543087718527696,1154.3080299441376,1.9073188725864543e-13,2.0455440683110712e-13,19073188.725864545,20455440.68311071,1.072890958693324,1.0977734031905029,0.38229604985277726,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,Ar2+__Ar2+,repulsion,0.0001543087718527696,1154.3080299441376,1.9073188725864543e-13,2.0455440683110712e-13,19073188.725864545,20455440.68311071,1.072890958693324,1.0977734031905029,0.38229604985277726,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,Ar2+__Ar3+,repulsion,0.0001543087718527696,769.538686629425,4.034592773762065e-13,4.3476254384898e-13,40345927.73762065,43476254.384898,1.0775937464275043,1.104055677271369,0.38526434439869583,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,Ar2+__Ar4+,repulsion,0.0001543087718527696,577.1540149720688,6.847195150146658e-13,7.409111777757962e-13,68471951.50146657,74091117.77757962,1.0821084991998642,1.1097808368430744,0.3880212697945139,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,Ar3+__Ar3+,repulsion,0.0001543087718527696,513.0257910862833,8.496563452985805e-13,9.211371927492727e-13,84965634.52985805,92113719.27492727,1.0842581156438635,1.1124533329626412,0.3892994201125675,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,Ar3+__Ar4+,repulsion,0.0001543087718527696,384.7693433147125,1.43682248462355e-12,1.565501798429813e-12,143682248.46235502,156550179.8429813,1.0896904976855424,1.1191305130449045,0.39252085713682666,Mason1967 Table I/II + electron-only Debye length
500.0,0.1,Ar4+__Ar4+,repulsion,0.0001543087718527696,288.5770074860344,2.422075831063629e-12,2.6539707132258444e-12,242207583.1063629,265397071.32258445,1.096289593924076,1.1267672030316351,0.3963807058801199,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,e-__e-,repulsion,0.00018258060110262027,7648.455807352704,7.77381627203653e-15,8.212380031847635e-15,777381.627203653,821238.0031847635,1.0569586690233248,1.07633872482004,0.37170189847427265,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,e-__Ar+,attraction,0.00018258060110262027,7648.455807352704,7.773871370444804e-15,8.211963169686305e-15,777387.1370444804,821196.3169686305,1.0568491017943564,1.0762058723434085,0.3716320427312832,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,e-__Ar2+,attraction,0.00018258060110262027,3824.227903676352,2.8622937113858526e-14,3.036625051558019e-14,2862293.7113858527,3036625.051558019,1.0621472297180425,1.0834606952389105,0.3753347116779502,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,e-__Ar3+,attraction,0.00018258060110262027,2549.485269117568,6.114732533416267e-14,6.505786419394532e-14,6114732.5334162675,6505786.419394532,1.0652464358774225,1.0877044945821523,0.3775006341643351,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,e-__Ar4+,attraction,0.00018258060110262027,1912.113951838176,1.0460155498375137e-13,1.1153859340966061e-13,10460155.498375136,11153859.34096606,1.0674453576417287,1.0907155181344124,0.37903738062461717,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,Ar+__Ar+,repulsion,0.00018258060110262027,7648.455807352704,7.77381627203653e-15,8.212380031847635e-15,777381.627203653,821238.0031847635,1.0569586690233248,1.07633872482004,0.37170189847427265,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,Ar+__Ar2+,repulsion,0.00018258060110262027,3824.227903676352,2.8614740757748265e-14,3.037222929529423e-14,2861474.0757748266,3037222.929529423,1.062798650939206,1.08419560770687,0.375585185418338,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,Ar+__Ar3+,repulsion,0.00018258060110262027,2549.485269117568,6.111838584526291e-14,6.507699087405957e-14,6111838.584526291,6507699.087405957,1.0662148213648863,1.0887915895682232,0.3778567626601563,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,Ar+__Ar4+,repulsion,0.00018258060110262027,1912.113951838176,1.0453686570940168e-13,1.1157975385279174e-13,10453686.570940169,11157975.385279173,1.0686386328550872,1.0920524905936997,0.3794684723624034,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,Ar2+__Ar2+,repulsion,0.00018258060110262027,1912.113951838176,1.0453686570940168e-13,1.1157975385279174e-13,10453686.570940169,11157975.385279173,1.0686386328550872,1.0920524905936997,0.3794684723624034,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,Ar2+__Ar3+,repulsion,0.00018258060110262027,1274.742634558784,2.2214882440747092e-13,2.3801234600737155e-13,22214882.440747093,23801234.600737154,1.0720548032807675,1.0966484724550531,0.38174004960422164,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,Ar2+__Ar4+,repulsion,0.00018258060110262027,956.056975919088,3.784455604370186e-13,4.066931833996138e-13,37844556.04370186,40669318.33996138,1.0746840165699647,1.1001854015940904,0.38346249304342633,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,Ar3+__Ar3+,repulsion,0.00018258060110262027,849.8284230391893,4.703898984652751e-13,5.062326456685264e-13,47038989.84652752,50623264.566852644,1.0762147388399645,1.1022439591296074,0.3844125965213573,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,Ar3+__Ar4+,repulsion,0.00018258060110262027,637.371317279392,7.989350758170916e-13,8.632076755010614e-13,79893507.58170916,86320767.55010614,1.0804758545328077,1.107723814859937,0.38703291073604107,Mason1967 Table I/II + electron-only Debye length
700.0,0.1,Ar4+__Ar4+,repulsion,0.00018258060110262027,478.028487959544,1.3536802846521512e-12,1.469294323429039e-12,135368028.46521512,146929432.3429039,1.0855476294277508,1.1140565122615282,0.3900661580381222,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,e-__e-,repulsion,0.0002070269420323794,11150.400478733081,4.906716710820233e-15,5.171846946230219e-15,490671.6710820233,517184.6946230219,1.0541703467827948,1.0725953720592538,0.3698453215063358,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,e-__Ar+,attraction,0.0002070269420323794,11150.400478733081,4.906304002543765e-15,5.171846946230219e-15,490630.4002543765,517184.6946230219,1.0542656177362126,1.0726906430126715,0.3698453215063358,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,e-__Ar2+,attraction,0.0002070269420323794,5575.200239366541,1.8128575491913253e-14,1.9186151175567646e-14,1812857.5491913252,1918615.1175567647,1.0592658157252208,1.0795151226691944,0.37332099621705767,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,e-__Ar3+,attraction,0.0002070269420323794,3716.8001595776936,3.88206544194106e-14,4.1192991085281585e-14,3882065.4419410597,4119299.1085281586,1.0623650218846008,1.0837589220124362,0.3754869187034426,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,e-__Ar4+,attraction,0.0002070269420323794,2787.6001196832703,6.65313454230548e-14,7.073974020868606e-14,6653134.542305481,7073974.020868607,1.064563943648907,1.0867699455646962,0.37702366516372465,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,Ar+__Ar+,repulsion,0.0002070269420323794,11150.400478733081,4.906716710820233e-15,5.171846946230219e-15,490671.6710820233,517184.6946230219,1.0541703467827948,1.0725953720592538,0.3698453215063358,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,Ar+__Ar2+,repulsion,0.0002070269420323794,5575.200239366541,1.8126241284304772e-14,1.9188349545590754e-14,1812624.128430477,1918834.9545590754,1.0596225468789364,1.0799226017288786,0.37347323993496295,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,Ar+__Ar3+,repulsion,0.0002070269420323794,3716.8001595776936,3.880905199926766e-14,4.1201370095143766e-14,3880905.199926766,4120137.0095143765,1.0630387173046167,1.0845185835902318,0.3757448171767812,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,Ar+__Ar4+,repulsion,0.0002070269420323794,2787.6001196832703,6.650270873279959e-14,7.075896604543864e-14,6650270.873279959,7075896.604543865,1.0654625287948178,1.0877794846157083,0.3773565268790283,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,Ar2+__Ar2+,repulsion,0.0002070269420323794,2787.6001196832703,6.650270873279959e-14,7.075896604543864e-14,6650270.873279959,7075896.604543865,1.0654625287948178,1.0877794846157083,0.3773565268790283,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,Ar2+__Ar3+,repulsion,0.0002070269420323794,1858.4000797888468,1.4173113108712677e-13,1.5131800807249522e-13,14173113.108712677,15131800.807249522,1.068878699220498,1.0923754664770617,0.3796281041208466,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,Ar2+__Ar4+,repulsion,0.0002070269420323794,1393.8000598416352,2.420018093135204e-13,2.590581356340571e-13,24200180.93135204,25905813.563405707,1.071302510710699,1.0956363675025382,0.3812398138230937,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,Ar3+__Ar3+,repulsion,0.0002070269420323794,1238.933386525898,3.0112012693227256e-13,3.2271377072119533e-13,30112012.693227258,32271377.072119534,1.0722948696461783,1.096971448338415,0.3818996813626649,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,Ar3+__Ar4+,repulsion,0.0002070269420323794,929.2000398944234,5.12874161596891e-13,5.513462111914868e-13,51287416.159689106,55134621.11914868,1.075054321021987,1.1006833972364654,0.38369233718606094,Mason1967 Table I/II + electron-only Debye length
900.0,0.1,Ar4+__Ar4+,repulsion,0.0002070269420323794,696.9000299208176,8.716714160528072e-13,9.405951996155936e-13,87167141.60528073,94059519.96155936,1.0791102007591198,1.1059857100570614,0.38619489592036893,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,e-__e-,repulsion,0.00022887689607201992,15066.616338952792,3.3937446250577254e-15,3.5712569333726306e-15,339374.46250577254,357125.6933372631,1.0527062238307172,1.0706475656319363,0.3688648820294982,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,e-__Ar+,attraction,0.00022887689607201992,15066.616338952792,3.3935062582268612e-15,3.5712569333726306e-15,339350.6258226861,357125.6933372631,1.0527884222577772,1.0707297640589963,0.3688648820294982,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,e-__Ar2+,attraction,0.00022887689607201992,7533.308169476396,1.2570473716634541e-14,1.3280029780255225e-14,1257047.3716634542,1328002.9780255225,1.0569650510862418,1.076364643816956,0.37171307547504395,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,e-__Ar3+,attraction,0.00022887689607201992,5022.205446317597,2.696571565227125e-14,2.855739118871974e-14,2696571.5652271253,2855739.118871974,1.0600642572456218,1.0806084431601979,0.37387899796142887,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,e-__Ar4+,attraction,0.00022887689607201992,3766.654084738198,4.627677519618729e-14,4.910033379886927e-14,4627677.519618729,4910033.379886927,1.062263179009928,1.083619466712458,0.37541574442171094,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,Ar+__Ar+,repulsion,0.00022887689607201992,15066.616338952792,3.3937446250577254e-15,3.5712569333726306e-15,339374.46250577254,357125.6933372631,1.0527062238307172,1.0706475656319363,0.3688648820294982,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,Ar+__Ar2+,repulsion,0.00022887689607201992,7533.308169476396,1.257031377933299e-14,1.3280743237236071e-14,1257031.377933299,1328074.323723607,1.0570864767655166,1.0765106723494835,0.3717868840348022,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,Ar+__Ar3+,repulsion,0.00022887689607201992,5022.205446317597,2.6961104663632587e-14,2.856129437487811e-14,2696110.4663632587,2856129.4374878113,1.0605026471911967,1.0811066542108367,0.3740584612766205,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,Ar+__Ar4+,repulsion,0.00022887689607201992,3766.654084738198,4.626321570610899e-14,4.9110171270507314e-14,4626321.5706108995,4911017.127050731,1.0629264586813978,1.0843675552363135,0.37567017097886757,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,Ar2+__Ar2+,repulsion,0.00022887689607201992,3766.654084738198,4.626321570610899e-14,4.9110171270507314e-14,4626321.5706108995,4911017.127050731,1.0629264586813978,1.0843675552363135,0.37567017097886757,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,Ar2+__Ar3+,repulsion,0.00022887689607201992,2511.1027231587987,9.880382997927863e-14,1.0521637372302922e-13,9880382.997927863,10521637.372302921,1.066342629107078,1.0889635370976667,0.3779417482206859,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,Ar2+__Ar4+,repulsion,0.00022887689607201992,1883.327042369099,1.6898070517954408e-13,1.803894783682813e-13,16898070.51795441,18038947.83682813,1.068766440597279,1.0922244381231434,0.37955345792293294,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,Ar3+__Ar3+,repulsion,0.00022887689607201992,1674.0684821058655,2.104097053945772e-13,2.2485343969668824e-13,21040970.53945772,22485343.969668824,1.0697587995327582,1.09355951895902,0.38021332546250414,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,Ar3+__Ar4+,repulsion,0.00022887689607201992,1255.5513615793993,3.590529652161079e-13,3.847502797861841e-13,35905296.52161079,38475027.97861841,1.0721826110229593,1.0968204199844966,0.38182503516475125,Mason1967 Table I/II + electron-only Debye length
1100.0,0.1,Ar4+__Ar4+,repulsion,0.00022887689607201992,941.6635211845495,6.116049121255779e-13,6.573765324512254e-13,61160491.21255779,65737653.24512254,1.074881161121454,1.1004505270254035,0.3835848586271093,Mason1967 Table I/II + electron-only Debye length
1300.0,0.1,e-__e-,repulsion,0.00024881541830008494,19357.164025347938,2.494858134088101e-15,2.62196969166774e-15,249485.8134088101,262196.969166774,1.0514873726226206,1.0690260582211648,0.3680486870240763,Mason1967 Table I/II + electron-only Debye length
