T_K,pair,category,Q11_m2,Q22_m2,Q11_A2,Q22_A2,Ast,Bst,Cst,source,notes
300.0,Ar-Ar,neutral-neutral,3.7453991093095465e-19,4.0958441933408403e-19,37.45399109309547,40.9584419334084,1.0935668199312134,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
300.0,Ar-Ar+,ion-neutral,7.978783669244119e-14,5.985122085578211e-14,7978783.66924412,5985122.085578211,0.7501296355043574,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
300.0,e-Ar,electron-neutral,2.034847928991186e-20,2.034847928991186e-20,2.034847928991186,2.034847928991186,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
500.0,Ar-Ar,neutral-neutral,3.2338527247023525e-19,3.538803506961867e-19,32.33852724702353,35.38803506961867,1.0942995269791027,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
500.0,Ar-Ar+,ion-neutral,6.180906628092727e-14,4.636056531314329e-14,6180906.628092728,4636056.531314329,0.7500609231408013,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
500.0,e-Ar,electron-neutral,1.3477109307965322e-20,1.3477109307965322e-20,1.3477109307965323,1.3477109307965323,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
700.0,Ar-Ar,neutral-neutral,2.9974970992809904e-19,3.288235402728765e-19,29.974970992809904,32.88235402728765,1.0969936896744668,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
700.0,Ar-Ar+,ion-neutral,5.223986448826863e-14,3.9181830715640346e-14,5223986.448826863,3918183.0715640346,0.750036989939729,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
700.0,e-Ar,electron-neutral,9.72245591075063e-21,9.72245591075063e-21,0.972245591075063,0.972245591075063,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
900.0,Ar-Ar,neutral-neutral,2.850643750021276e-19,3.141066435531308e-19,28.506437500212762,31.41066435531308,1.1018796843722982,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
900.0,Ar-Ar+,ion-neutral,4.607193862301046e-14,3.455512719395242e-14,4607193.862301046,3455512.7193952426,0.7500254651036975,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
900.0,e-Ar,electron-neutral,7.553309150113726e-21,7.553309150113726e-21,0.7553309150113726,0.7553309150113726,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
1100.0,Ar-Ar,neutral-neutral,2.746944623509176e-19,3.0395963638699045e-19,27.469446235091763,30.395963638699044,1.106537182386615,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
