T_K,P_atm,mu_Pa_s,kappa_W_mK,kappa_H_W_mK,kappa_e_W_mK,kappa_int_W_mK,kappa_reac_W_mK,sigma_S_m,nu_e_1_s,Astar_e,Bstar_e,Cstar_e,cp_frozen_J_kgK,cp_reac_J_kgK
300.0,0.1,2.2415882937353806e-05,0.017495497580205212,0.017495497580205212,1.2334255745059466e-130,0.0,8.020892463823818e-84,2.886994079375416e-125,6452869652.87975,1.0,1.0,1.0,520.3303874417475,-8.755478120292537e-09
500.0,0.1,3.349401445375559e-05,0.026141930276207627,0.026141930276207627,4.07280228853651e-77,0.0,5.063230427036611e-61,5.719756264884632e-72,3310497848.685446,1.0,1.0,1.0,520.3303874417473,-8.755478120292537e-09
700.0,0.1,4.265056309983244e-05,0.03328857603311657,0.03328857603311657,5.060278856508276e-54,0.0,3.974462899849148e-48,5.07610514064831e-49,2018405977.895179,1.0,1.0,1.0,520.3303874417475,-8.755478120292537e-09
900.0,0.1,5.0627068737080455e-05,0.039514203436069074,0.039514203436069074,4.140373465272233e-41,0.0,7.006934898617559e-40,3.23036209818628e-36,1382921622.3681734,1.0,1.0,1.0,520.3303874417475,-8.755364433454815e-09
1100.0,0.1,5.783877370494613e-05,0.045142907296107065,0.045142907296107065,7.540975867802256e-33,0.0,3.8263450545615336e-34,4.813811329275945e-28,1040904202.7990683,1.0,1.0,1.0,520.3303874417471,-8.755137059779372e-09
1300.0,0.1,6.452710932344242e-05,0.05036312369165114,0.05036312369165114,4.133221278722139e-27,0.0,6.469907255100743e-30,2.2325413158019312e-22,848290278.9871562,1.0,1.0,1.0,520.3303874417476,-8.755591807130259e-09
1500.0,0.1,7.083036812471318e-05,0.05528278933294561,0.05528278933294561,6.791843067272503e-23,0.0,1.1482322960647312e-26,3.179439627391716e-18,738420461.5550689,1.0,1.0,1.0,520.3303874417479,-8.755932867643423e-09
1700.0,0.1,7.68314312133639e-05,0.05996659255589599,0.05996659255589599,1.1389615085303896e-19,0.0,4.341319048728751e-24,4.7045092297237e-15,677129150.9953058,1.0,1.0,0.9999999999999999,520.3303874417473,-8.755364433454815e-09
1900.0,0.1,8.258388550516422e-05,0.06445635771146817,0.06445635771146813,3.984621140942588e-17,0.0,5.423890300373202e-22,1.472609618608346e-12,645572528.6470041,1.000000000000001,1.0000000000000013,0.9999999999999867,520.3303874417473,-8.754227565077599e-09
2100.0,0.1,8.81251539080756e-05,0.06878129321396441,0.06878129321395987,4.5436846976356605e-15,0.0,2.982636971195022e-20,1.5192984357016917e-10,632769921.5723951,1.0000000000000913,1.0000000000001223,0.9999999999987947,520.330387441747,-8.707274901098572e-09
2300.0,0.1,9.348306687929189e-05,0.07296312061209102,0.0729631206118647,2.2632435352864945e-13,0.0,8.774151711313868e-19,6.909675489871094e-09,632045879.6055703,1.0000000000036178,1.0000000000048523,0.9999999999515126,520.3303874417472,-7.469452611985616e-09
2500.0,0.1,9.867929224727652e-05,0.0770187515458714,0.07701875153799485,6.013477696493866e-12,0.0,1.863063155803615e-12,1.6890398441046217e-07,639205591.3583536,1.0000000000779454,1.0000000001045624,0.9999999989409172,520.3303874417542,1.2649479685933329e-08
2700.0,0.1,0.00010373125106357222,0.08096178300038291,0.08096178286600056,9.81099080048302e-11,0.0,3.6272445980199e-11,2.5515454061831004e-06,651543619.6283352,1.0000000010476844,1.0000000014056292,0.9999999855814264,520.3303874418646,2.3428242457157467e-07
2900.0,0.1,0.0001086532595784867,0.0848033878755207,0.08480338646051737,1.0882161675699393e-09,3.3845700641569866e-15,3.267837749868198e-10,2.6349437971101997e-05,667279588.2926646,1.0000000097050452,1.0000000130223952,0.9999998648228047,520.330387443072,2.0150704358457006e-06
3100.0,0.1,0.00011345716444636432,0.08855280510586694,0.0885527940471481,8.84860975499723e-09,3.4090963439637206e-14,2.210074989712018e-09,0.00020043216380570095,685224960.0220021,1.0000000666886304,1.0000000894943681,0.9999990605455126,520.3303874527708,1.3051113000983605e-05
3300.0,0.1,0.00011815224124035021,0.09221722823109207,0.09221716037605696,5.583774243169561e-08,2.1486394540268542e-13,1.2017077816536179e-08,0.0011881393468680347,704582692.0237463,1.0000003593300155,1.0000004822651134,0.9999948834830016,520.3303875130836,6.814426785695105e-05
3500.0,0.1,0.00012274297754722487,0.09579993224625089,0.09579959207039307,2.8568614360790347e-07,1.0791806806275565e-12,5.4488635034702475e-08,0.005731551437632569,724831349.2663922,1.0000015900166155,1.000002133729796,0.9999776318032413,520.3303878163905,0.0002974278633018912
3700.0,0.1,0.00012722045646068288,0.0992930339585272,0.0992915959163151,1.2262923434828326e-06,4.554447068369388e-12,2.1174531416807547e-07,0.0232721703221754,745667761.83843,1.0000059797597831,1.0000080189962481,0.9999215269020577,520.3303890930246,0.0011151394828630146
3900.0,0.1,0.00013153673090305078,0.10265594264752778,0.10265068530009101,4.536671555417519e-06,1.662030368730107e-11,7.206592610390209e-07,0.08167743272293916,767021352.0066972,1.0000193840335432,1.0000259801918543,0.9997600735740089,520.3303937154668,0.0036707534678726006
4100.0,0.1,0.00013554028164278298,0.10576105495531572,0.10574409319118178,1.4776901222242582e-05,5.3691751609035934e-11,2.184809219957969e-06,0.25304196033160065,789132224.8080631,1.0000554172632508,1.000074242169075,0.9993474856490606,520.3304084366109,0.010799841312973513
4300.0,0.1,0.00013883631854793687,0.10827663087811194,0.10822755845292441,4.309965020483164e-05,1.5611274955791295e-10,5.972618869958862e-06,0.7035224123678439,812708581.3771863,1.0001436945139432,1.0001925842021113,0.9983964533109894,520.3304504241221,0.02882264785728239
4500.0,0.1,0.00014053688109073246,0.10946087615230556,0.10933202648170043,0.00011403158262927776,4.1216888769869705e-10,1.481767580696634e-05,1.7776622049181048,839201770.0851231,1.0003424501378968,1.000459489578129,0.9963930903850216,520.3305592795151,0.07064180788313479
4700.0,0.1,0.00013895419699769596,0.10792824415000703,0.1076186470662011,0.0002762759723685364,9.889980600408284e-10,3.332012243932083e-05,4.120238933274972,871104055.8787235,1.000749189197739,1.001006185863371,0.9924946293108667,520.3308189878721,0.16065959784975803
4900.0,0.1,0.0001316151934151947,0.10174596985791082,0.10106201448643229,0.0006167610939976782,2.1395669413832837e-09,6.719213791391034e-05,8.815928983247431,912175199.117118,1.0015178154363649,1.0020400767453865,0.9854470589451744,520.3313951171733,0.3420453030585122
5100.0,0.1,0.00011643894085443806,0.08957124306120479,0.08817900856255327,0.0012728669218854847,4.1067908950015414e-09,0.00011936346997514593,17.491568576041136,967336304.23189,1.0028646860310082,1.0038529481179848,0.9735766795993457,520.332593874021,0.6868205350812104
5300.0,0.1,9.419932892613989e-05,0.07268258433377665,0.07006692899127673,0.0024315920670872717,6.899052144417126e-09,0.00018405637636049568,32.31576855624854,1041931848.326561,1.0050552198469838,1.0068030479833239,0.9549509505383884,520.3349506924642,1.3090945107452399
5500.0,0.1,6.948177570821119e-05,0.05529345355663321,0.05073588518105657,0.004310571737041173,1.0177478137576844e-08,0.00024698646105733525,55.91029854224896,1140330921.6147528,1.0083562115147444,1.0112508971788552,0.9277968837346663,520.3393567267447,2.381585890551605
5700.0,0.1,4.7621418719183265e-05,0.041644099022982536,0.0342409940516379,0.00710773163140993,1.350561576355896e-08,0.0002953598343189439,91.28994217232058,1264893894.6873124,1.0129925900889907,1.0175146299440723,0.8911946922858702,520.3472317866284,4.1553361623919045
5900.0,0.1,3.123328217892172e-05,0.033496121277652266,0.02221038347685076,0.010960207140734595,1.667039501593207e-08,0.00032551398967189314,141.92782160892062,1415813213.5187721,1.0190140131351948,1.0256754839946407,0.8457219817681184,520.3607519495864,6.982279628344827
6100.0,0.1,2.0128256830809388e-05,0.03046480633608088,0.014210297080475073,0.01591376932579999,1.9714199625101727e-08,0.00034072021560619444,211.7865787255056,1592623521.765003,1.0261801055733273,1.0354170203261526,0.7937062249536896,520.3831393112575,11.340113794072977
