T_K,P_atm,mu_Pa_s,kappa_W_mK,kappa_H_W_mK,kappa_e_W_mK,kappa_int_W_mK,kappa_reac_W_mK,sigma_S_m,nu_e_1_s,Astar_e,Bstar_e,Cstar_e,cp_frozen_J_kgK,cp_reac_J_kgK,kappa_reac_grad_mass_W_mK,kappa_reac_grad_mole_W_mK,kappa_reac_cp_W_mK
300.0,1.0,2.436850901212033e-05,0.01901951360348182,0.01901951360348182,3.462621452892604e-131,0.0,1.3657864178758002e-79,7.067446207889098e-126,83355886394.09805,1.0,1.0,1.0,520.3303874417475,-8.755591807130259e-09,1.3657864178758002e-79,1.3657863409612097e-79,0.0
500.0,1.0,3.4061775453405805e-05,0.026585065227937205,0.026585065227937205,1.1571036151047202e-77,0.0,7.024796093864505e-57,1.4483030834423819e-72,41343893890.46416,1.0,1.0,1.0,520.3303874417473,-8.755364433454815e-09,7.024796093864505e-57,7.024795434571238e-57,0.0
700.0,1.0,4.239956365907874e-05,0.0330926720791349,0.0330926720791349,1.44437880844024e-54,0.0,4.832206699923657e-44,1.1896119979921663e-49,27235402448.508633,1.0,1.0,1.0,520.3303874417475,-8.755591807130259e-09,4.832206699923657e-44,4.832206065125043e-44,0.0
900.0,1.0,4.992973505324119e-05,0.03896993757767598,0.03896993757767598,6.024056926688093e-41,0.0,7.72202777632674e-36,1.4354410752464131e-36,9841547741.998104,1.0,1.0,1.0,520.3303874417475,-8.755478120292537e-09,7.72202777632674e-36,7.72202647239253e-36,0.0
1100.0,1.0,5.690703261320665e-05,0.04441568749168588,0.04441568749168588,2.686505476409797e-33,0.0,3.8976203186658454e-30,1.5187543685860849e-28,10433073971.959444,1.0,1.0,1.0,520.3303874417471,-8.754682312428486e-09,3.8976203186658454e-30,3.897619514474903e-30,0.0
1300.0,1.0,6.347442238075675e-05,0.04954150618503144,0.04954150618503144,1.600023611406934e-27,0.0,6.170249729545243e-26,7.257676260430666e-23,8251756482.763949,1.0,1.0,1.0,520.3303874417476,-8.755591807130259e-09,6.170249729545243e-26,6.170248225345161e-26,0.0
1500.0,1.0,6.972166902565854e-05,0.054417454585810404,0.054417454585810404,1.9715819943418023e-23,0.0,1.0346802087634719e-22,9.232208788962004e-19,8041715186.896474,1.0,1.0,1.0,520.3303874417479,-8.756160241318867e-09,1.0346802087634719e-22,1.0346799177851375e-22,0.0
1700.0,1.0,7.570954814605521e-05,0.05909096777981601,0.05909096777981601,3.31797452116856e-20,0.0,3.721956867874189e-20,1.3810437871907511e-15,7294212097.794257,1.0,1.0,1.0,520.3303874417473,-8.755364433454815e-09,3.721956867874189e-20,3.721955681835806e-20,0.0
1900.0,1.0,8.148150608999238e-05,0.0635959554497156,0.06359595544971558,1.1636178417196716e-17,0.0,4.448190935448376e-18,4.334606466806172e-13,6935583418.273086,1.0000000000000002,1.0000000000000004,0.9999999999999962,520.3303874417473,-8.754795999266207e-09,4.448190935448376e-18,4.448189351499156e-18,0.0
2100.0,1.0,8.706990230728254e-05,0.0679576740030981,0.06795767400309653,1.328679497018439e-15,0.0,2.3501062966930727e-16,4.476507548605508e-11,6791248099.485346,1.0000000000000293,1.000000000000039,0.9999999999996654,520.330387441747,-8.739903023524676e-09,2.3501062966930727e-16,2.350105371900947e-16,0.0
2300.0,1.0,9.249962462576428e-05,0.07219554827968452,0.07219554827961165,6.62128234372569e-14,0.0,6.665968420592336e-15,2.0361498327945454e-09,6782604955.570338,1.000000000001156,1.000000000001548,0.9999999999867155,520.3303874417471,-8.348251867573708e-09,6.665968420592336e-15,6.665965548023248e-15,0.0
2500.0,1.0,9.779031440895313e-05,0.07632490827856815,0.07632490827669286,1.7589278727041045e-12,0.0,1.163702023466786e-13,4.975110506547213e-08,6862426850.8277855,1.0000000000249285,1.0000000000333897,0.9999999997135027,520.3303874417493,-1.9865638023475185e-09,1.163702023466786e-13,1.1637014784490082e-13,0.0
2700.0,1.0,0.00010295780423753305,0.08035811129412547,0.08035811125360236,2.8678345477007245e-11,0.0,1.1844755191381823e-11,7.509653595112855e-07,7000465072.618969,1.0000000003353087,1.000000000449118,0.9999999961463956,520.3303874417845,6.809864316892345e-08,1.3801480686540057e-12,1.3801473706245623e-12,1.0464607122727817e-11
2900.0,1.0,0.00010801508436454983,0.0843052964769746,0.08430529604544057,3.178031350041139e-10,3.1927722755862024e-16,1.1373057458495146e-10,7.747287927423844e-06,7176777790.075121,1.000000003107875,1.0000000041627375,0.9999999642821238,520.3303874421667,6.312341156444745e-07,1.1965192114623238e-11,1.1965185615372684e-11,1.0176538247032822e-10
3100.0,1.0,0.00011297297418413516,0.08817491049799728,0.08817490714151816,2.581420461526818e-09,1.0159240284753072e-14,7.750484921262314e-10,5.8865781996576644e-05,7377983361.44978,1.0000000213675593,1.000000028620052,0.999999754429035,520.3303874452355,4.12113843140105e-06,8.015705090247301e-11,8.015700436363484e-11,6.948914412237584e-10
3300.0,1.0,0.00011784060192137766,0.0919740895751585,0.09197406908118054,1.6271702678704236e-08,6.887359341792518e-14,4.222206403286552e-09,0.00034855516561503196,7595000829.16335,1.0000001151990363,1.0000001542994394,0.9999986760519493,520.3303874643227,2.1543123466472025e-05,4.331696323080151e-10,4.3316936461529637e-10,3.789036770978536e-09
3500.0,1.0,0.00012262575553920952,0.09570896266560713,0.095708860335082,8.316366674706578e-08,3.5600964101886273e-13,1.9166502378984152e-08,0.0016796204048026837,7821643563.295655,1.0000005082360108,1.0000006807394743,0.9999941589956284,520.3303875603502,9.404896184150857e-05,1.9533307319792646e-09,1.953329452264773e-09,1.7213171647004887e-08
3700.0,1.0,0.0001273351446789752,0.09938494897035924,0.09938451774864011,3.5664963053677154e-07,1.5440019212775788e-12,7.457054458429208e-08,0.006813718219922401,8053748907.532909,1.0000018968967335,1.0000025407339461,0.9999781995335247,520.3303879647392,0.00035263208110336564,7.551951948851518e-09,7.551946729983004e-09,6.701859263544056e-08
