model,P_atm,mu_mean_ape_pct,kappa_mean_ape_pct,sigma_mean_ape_pct,kappa_signed_bias_pct,kappa_mean_ape_8k_18k_pct
auto,0.1,2.964772367014818,12.932479051237925,15.513568785174785,-12.729085085943524,31.1719264917449
auto,1.0,3.1606099139678396,10.569465566334095,17.67023493391795,-10.038459166082376,24.9179378828675
auto,4.0,4.033525916962966,8.576662268271424,19.187123312375856,-7.631866852584655,19.12074618008372
auto,ALL,3.386302732648541,10.692868961947815,17.456975677156198,-10.133137034870185,25.07020351823204
butler_mass,0.1,2.964772367014818,12.87123713913926,15.513568785174785,-12.667978811468714,31.005040255119123
butler_mass,1.0,3.1606099139678396,10.530402010565782,17.67023493391795,-10.000408431441382,24.852078449812215
butler_mass,4.0,4.033525916962966,8.547124528964838,19.187123312375856,-7.604750659696603,19.127412629108484
butler_mass,ALL,3.386302732648541,10.64958789288996,17.456975677156198,-10.091045967535566,24.994843778013276
butler_mole,0.1,2.964772367014818,12.932479051237925,15.513568785174785,-12.729085085943524,31.1719264917449
butler_mole,1.0,3.1606099139678396,10.569465566334095,17.67023493391795,-10.038459166082376,24.9179378828675
butler_mole,4.0,4.033525916962966,8.576662268271424,19.187123312375856,-7.631866852584655,19.12074618008372
butler_mole,ALL,3.386302732648541,10.692868961947815,17.456975677156198,-10.133137034870185,25.07020351823204
butler_mole_cp,0.1,2.964772367014818,10.801238896481099,15.513568785174785,4.010969570228943,25.644422877372786
butler_mole_cp,1.0,3.1606099139678396,10.073360947875416,17.67023493391795,6.527507012002347,24.843603869569378
butler_mole_cp,4.0,4.033525916962966,10.102677689898377,19.187123312375856,8.158152468211311,24.68402469535868
butler_mole_cp,ALL,3.386302732648541,10.325759178084962,17.456975677156198,6.232209683480867,25.057350480766953
legacy_composite,0.1,2.964772367014818,10.628598944818782,15.513568785174785,4.072080938342963,25.13568930936494
legacy_composite,1.0,3.1606099139678396,9.967229675408749,17.67023493391795,6.565557746643338,24.549743244355515
legacy_composite,4.0,4.033525916962966,10.058665343056642,19.187123312375856,8.185280920710975,24.581784532067985
legacy_composite,ALL,3.386302732648541,10.218164654428058,17.456975677156198,6.274306535232425,24.755739028596146
