E_eV,Qm_A2,source
0.3,0.15,Frost1964_FIGURE_DIGITIZED
0.4,0.25,Frost1964_FIGURE_DIGITIZED
0.5,0.40,Frost1964_FIGURE_DIGITIZED
0.7,0.80,Frost1964_FIGURE_DIGITIZED
1.0,1.50,Frost1964_FIGURE_DIGITIZED
1.5,3.00,Frost1964_FIGURE_DIGITIZED
2.0,4.80,Frost1964_FIGURE_DIGITIZED
3.0,8.50,Frost1964_FIGURE_DIGITIZED
4.0,11.50,Frost1964_FIGURE_DIGITIZED
5.0,13.50,Frost1964_FIGURE_DIGITIZED
7.0,16.00,Frost1964_FIGURE_DIGITIZED
10.0,17.50,Frost1964_FIGURE_DIGITIZED
12.0,17.80,Frost1964_FIGURE_DIGITIZED
15.0,18.00,Frost1964_FIGURE_DIGITIZED
20.0,17.00,Frost1964_FIGURE_DIGITIZED
