Tstar,Astar_attraction,Astar_repulsion,Bstar_attraction,Bstar_repulsion,Cstar_attraction,Cstar_repulsion,source
0.1,0.6105,1.3555,1.4695,1.3646,0.7573,0.7486,Mason1967_TableII
0.2,0.7091,1.3631,1.4577,1.3865,0.6585,0.7104,Mason1967_TableII
0.3,0.7938,1.3630,1.4297,1.3946,0.6150,0.6858,Mason1967_TableII
0.4,0.8467,1.3605,1.3987,1.3976,0.5852,0.6675,Mason1967_TableII
0.6,0.9209,1.3532,1.3668,1.3972,0.5549,0.6411,Mason1967_TableII
0.8,0.9638,1.3453,1.3425,1.3933,0.5356,0.6221,Mason1967_TableII
1.0,0.9921,1.3377,1.3252,1.3884,0.5226,0.6075,Mason1967_TableII
2.0,1.0577,1.3073,1.2798,1.3627,0.4901,0.5632,Mason1967_TableII
4.0,1.0943,1.2698,1.2442,1.3255,0.4663,0.5230,Mason1967_TableII
6.0,1.1048,1.2468,1.2255,1.3011,0.4546,0.5022,Mason1967_TableII
8.0,1.1089,1.2306,1.2133,1.2833,0.4471,0.4886,Mason1967_TableII
10.0,1.1107,1.2183,1.2043,1.2697,0.4417,0.4789,Mason1967_TableII
20.0,1.1105,1.1832,1.1798,1.2295,0.4273,0.4529,Mason1967_TableII
40.0,1.1050,1.1538,1.1590,1.1945,0.4154,0.4326,Mason1967_TableII
60.0,1.1007,1.1394,1.1481,1.1770,0.4094,0.4230,Mason1967_TableII
80.0,1.0976,1.1301,1.1409,1.1659,0.4056,0.4170,Mason1967_TableII
100.0,1.0952,1.1235,1.1358,1.1580,0.4029,0.4128,Mason1967_TableII
200.0,1.0883,1.1047,1.1220,1.1365,0.3956,0.4013,Mason1967_TableII
400.0,1.0814,1.0888,1.1106,1.1181,0.3894,0.3920,Mason1967_TableII
600.0,1.0773,1.0814,1.1045,1.1089,0.3862,0.3876,Mason1967_TableII
800.0,1.0745,1.0770,1.1005,1.1033,0.3841,0.3849,Mason1967_TableII
1000.0,1.0724,1.0741,1.0975,1.0994,0.3825,0.3831,Mason1967_TableII
10000.0,1.0548,1.0547,1.0734,1.0733,0.3702,0.3702,Mason1967_TableII
100000.0,1.0435,1.0435,1.0584,1.0584,0.3627,0.3627,Mason1967_TableII
1000000.0,1.0361,1.0361,1.0484,1.0484,0.3577,0.3577,Mason1967_TableII
10000000.0,1.0309,1.0309,1.0414,1.0414,0.3541,0.3541,Mason1967_TableII
100000000.0,1.0270,1.0270,1.0362,1.0362,0.3515,0.3515,Mason1967_TableII
