Tstar,Omega11_t2_attraction,Omega11_t2_repulsion,Omega22_t2_attraction,Omega22_t2_repulsion,source
0.1,0.0630,0.0224,0.0384,0.0304,Mason1967_TableI
0.2,0.1364,0.0511,0.0967,0.0697,Mason1967_TableI
0.3,0.1961,0.0797,0.1557,0.1086,Mason1967_TableI
0.4,0.2480,0.1072,0.2100,0.1459,Mason1967_TableI
0.6,0.3297,0.1584,0.3037,0.2144,Mason1967_TableI
0.8,0.3962,0.2050,0.3818,0.2757,Mason1967_TableI
1.0,0.4519,0.2474,0.4483,0.3310,Mason1967_TableI
2.0,0.6467,0.4177,0.6840,0.5460,Mason1967_TableI
4.0,0.8719,0.6455,0.9541,0.8197,Mason1967_TableI
6.0,1.0173,0.8026,1.1240,1.0006,Mason1967_TableI
8.0,1.1259,0.9230,1.2486,1.1358,Mason1967_TableI
10.0,1.2130,1.0207,1.3473,1.2435,Mason1967_TableI
20.0,1.4972,1.3431,1.6626,1.5892,Mason1967_TableI
40.0,1.7984,1.6847,1.9872,1.9438,Mason1967_TableI
60.0,1.9807,1.8898,2.1801,2.1531,Mason1967_TableI
80.0,2.1123,2.0368,2.3184,2.3019,Mason1967_TableI
100.0,2.2156,2.1515,2.4266,2.4171,Mason1967_TableI
200.0,2.5427,2.5087,2.7672,2.7713,Mason1967_TableI
400.0,2.8780,2.8635,3.1121,3.1177,Mason1967_TableI
600.0,3.0767,3.0687,3.3146,3.3185,Mason1967_TableI
800.0,3.2185,3.2135,3.4583,3.4610,Mason1967_TableI
1000.0,3.3289,3.3256,3.5699,3.5719,Mason1967_TableI
10000.0,4.4759,4.4763,4.7211,4.7211,Mason1967_TableI
100000.0,5.6273,5.6273,5.8724,5.8724,Mason1967_TableI
1000000.0,6.7786,6.7786,7.0237,7.0237,Mason1967_TableI
10000000.0,7.9299,7.9299,8.1750,8.1750,Mason1967_TableI
100000000.0,9.0812,9.0812,9.3262,9.3262,Mason1967_TableI
