E_eV,Qm_A2,source
0.014,3.88,Milloy1977_Table1
0.017,3.56,Milloy1977_Table1
0.020,3.28,Milloy1977_Table1
0.025,2.89,Milloy1977_Table1
0.030,2.57,Milloy1977_Table1
0.035,2.29,Milloy1977_Table1
0.040,2.05,Milloy1977_Table1
0.050,1.662,Milloy1977_Table1
0.060,1.357,Milloy1977_Table1
0.070,1.114,Milloy1977_Table1
0.080,0.916,Milloy1977_Table1
0.090,0.754,Milloy1977_Table1
0.100,0.621,Milloy1977_Table1
0.110,0.511,Milloy1977_Table1
0.120,0.420,Milloy1977_Table1
0.130,0.348,Milloy1977_Table1
0.140,0.284,Milloy1977_Table1
0.150,0.233,Milloy1977_Table1
0.170,0.161,Milloy1977_Table1
0.180,0.135,Milloy1977_Table1
0.190,0.115,Milloy1977_Table1
0.200,0.101,Milloy1977_Table1
0.210,0.092,Milloy1977_Table1
0.220,0.086,Milloy1977_Table1
0.230,0.085,Milloy1977_Table1
0.240,0.087,Milloy1977_Table1
0.250,0.091,Milloy1977_Table1
0.260,0.098,Milloy1977_Table1
0.280,0.120,Milloy1977_Table1
0.300,0.151,Milloy1977_Table1
0.320,0.188,Milloy1977_Table1
0.325,0.206,Milloy1977_Table1
0.400,0.317,Milloy1977_Table1
0.500,0.504,Milloy1977_Table1
0.650,0.792,Milloy1977_Table1
0.800,1.05,Milloy1977_Table1
1.00,1.37,Milloy1977_Table1
1.20,1.66,Milloy1977_Table1
1.50,2.05,Milloy1977_Table1
1.70,2.33,Milloy1977_Table1
2.00,2.70,Milloy1977_Table1
2.50,3.43,Milloy1977_Table1
3.00,4.20,Milloy1977_Table1
4.00,5.70,Milloy1977_Table1
