E_eV,Qm_A2,source,database,process,target
0,6.2984,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.001,6.2984,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.002,5.835,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.005,4.9775,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.01,4.113,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.017419,3.2906,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.035142,2.1449,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.053174,1.4741,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.071519,1.0326,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.090184,0.72732,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.10917,0.5117,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.1285,0.3589,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.14815,0.25191,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.16815,0.17932,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.1885,0.13307,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.20921,0.1073,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.23027,0.097629,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.2517,0.1007,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.2735,0.1139,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.29569,0.13517,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.31826,0.16289,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.34122,0.19574,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.36458,0.23267,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.38835,0.27282,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.41254,0.31552,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.43714,0.36021,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.46218,0.40645,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.48765,0.45391,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.51356,0.50231,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.53993,0.55146,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.56675,0.60123,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.59404,0.65153,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.62181,0.70233,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.65006,0.75363,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.6788,0.80546,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.70805,0.8579,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.7378,0.91105,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.76807,0.96503,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.79887,1.02,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.83021,1.0762,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.86209,1.1337,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.89452,1.1928,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.92752,1.2537,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.9611,1.3168,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
0.99526,1.3821,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
1.03,1.4316,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
1.0654,1.4791,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
1.1014,1.5275,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
1.138,1.5767,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
1.1752,1.6267,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
1.2131,1.677,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
1.2516,1.7271,"LXCat:Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.):ELASTIC","Biagi (transcription of data from SF Biagi's Fortran code, Magboltz.)",ELASTIC,Ar
