E_eV,Qm_A2,source,database,process,target
0,7.1,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.001,6.2984,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.002,5.835,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.005,4.9775,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.01,4.113,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.02,3.0713,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.05,1.5709,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.1,0.60622,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.1092,0.5117,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.1482,0.25191,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.1885,0.13307,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.2303,0.097629,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.2735,0.1139,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.3183,0.16289,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.3646,0.23267,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.4125,0.31552,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.4622,0.40645,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.5136,0.50231,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.5668,0.60123,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.6218,0.70233,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.6788,0.80546,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.7378,0.91105,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.7989,1.02,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.8621,1.1337,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.9275,1.2537,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
0.9953,1.3821,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
1.0654,1.4791,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
1.138,1.5767,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
1.2131,1.677,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
1.2909,1.7781,LXCat:Biagi-v7.1 (Magboltz version 7.1):ELASTIC,Biagi-v7.1 (Magboltz version 7.1),ELASTIC,Ar
