E_eV,Qm_A2,source,database,process,target
0,6.5299,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.002,5.4111,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.004,4.9198,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.006,4.559,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.008,4.2604,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.01,4.0001,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.02,3.0177,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.03,2.3525,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.04,1.8769,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.05,1.5216,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.06,1.2453,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.07,1.0244,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.08,0.8449,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.09,0.69779,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.1,0.57674,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.11,0.47695,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.12,0.39461,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.13,0.32673,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.14,0.27093,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.15,0.22533,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
0.16,0.18843,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
