E_eV,Qm_A2,source,database,process,target
0,6.3,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.01,4.2,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.012,4,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.015,3.69,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.02,3.2,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.025,2.8,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.03,2.48,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.035,2.2,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.04,1.98,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.05,1.59,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.06,1.32,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.08,0.913,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.1,0.599,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.125,0.391,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.15,0.255,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.175,0.162,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.2,0.108,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.225,0.0808,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.233,0.0781,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.235,0.0763,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.24,0.0765,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.245,0.0786,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.25,0.0816,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.275,0.103,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.3,0.139,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.35,0.216,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.4,0.31,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.5,0.507,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.6,0.69,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.7,0.888,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.8,1.07,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
0.9,1.24,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
1,1.42,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
1.2,1.7,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
1.5,2.09,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
2,2.84,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
2.5,3.56,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
3,4.31,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
4,5.78,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
5,7.95,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
6,9.71,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
8,13.7,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
10,16.1,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
12,16.4,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
15,13.7,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
20,9.3,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
25,6.68,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
30,5.16,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
40,3.59,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
50,2.9,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
60,2.54,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
80,2.14,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
100,1.91,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
120,1.71,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
150,1.46,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
200,1.12,LXCat:Hayashi database:ELASTIC,Hayashi database,ELASTIC,Ar
