E_eV,Qm_A2,source,database,process,target
0,6.6,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.001,5.557775,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.002,5.090669,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.005,4.480331,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.007,4.063655,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.009,3.844707,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.011,3.762422,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.013,3.54997,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.015,3.236684,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.017,3.245553,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.019,3.090876,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.021,2.916592,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.023,2.743772,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.025,2.59223,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.027,2.487635,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.029,2.299739,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.033,2.191893,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.037,1.999751,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.041,1.80523,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.045,1.707622,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.049,1.529855,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.053,1.469375,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.057,1.308355,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.061,1.266494,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.071,1.079862,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.08,0.9351947,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.081,0.9206641,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.09,0.7832849,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.091,0.770309,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.1,0.6346089,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.101,0.6237674,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.11,0.5335748,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.111,0.5242595,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.12,0.4604815,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.121,0.4502833,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.13,0.3646237,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.14,0.3012026,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.141,0.2952838,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
0.15,0.2485663,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
