E_eV,Qm_A2,source,database,process,target
0,7.92,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.003,5.744,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.006,4.996,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.01,4.316,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.012,4.047,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.014,3.809,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.017,3.498,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.02,3.229,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.025,2.818,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.03,2.532,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.035,2.261,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.04,2.029,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.05,1.647,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.06,1.347,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.07,1.108,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.08,0.9128,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.09,0.7519,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.1,0.6211,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.11,0.5119,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.12,0.4218,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.13,0.3498,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.14,0.2858,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.15,0.2346,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.17,0.1624,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.18,0.1368,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.19,0.1171,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.2,0.1035,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.21,0.0941,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.22,0.0886,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.23,0.0867,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.24,0.0878,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.25,0.0917,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.26,0.0978,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.27,0.106,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.28,0.1161,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.3,0.1406,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.35,0.2206,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.4,0.3152,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.5,0.5169,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.7,0.8956,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
0.8,1.068,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
1,1.403,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
1.2,1.66,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
1.5,2.05,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
1.7,2.33,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
2,2.7,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
2.5,3.43,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
3,4.1,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
4,5.4,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
5,7,LXCat:Morgan (Kinema Research  Software):ELASTIC,Morgan (Kinema Research  Software),ELASTIC,Ar
