E_eV,Qm_A2,source,database,process,target
0,7.05,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0001,7.05,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0004,7.05,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0009,7.05,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0016,7.2,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0025,7.3,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0036,7.2,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0049,7,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0064,6.5,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0081,6,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0103,5,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0144,3.9,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0221,3.12,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0324,2.44,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.04,2.05,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0484,1.72,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0651,1.23,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.0786,0.944,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.103,0.588,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.1156,0.456,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.15,0.233,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.2,0.101,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.25,0.091,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.3,0.151,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.35,0.243,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.42,0.354,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.5,0.504,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.6,0.696,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.7,0.878,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
0.85,1.13,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
1,1.37,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
1.1,1.51,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
1.2,1.66,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
1.3,1.79,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
1.4,1.92,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
1.5,2.05,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
1.6,2.19,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
1.7,2.33,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
1.8,2.45,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
1.9,2.58,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
2,2.7,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
2.2,2.99,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
2.6,3.58,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
2.8,3.89,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
3,4.2,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
3.3,4.65,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
3.6,5.1,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
4,5.8,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
4.5,6.5,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
4.9,7,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
5.2,7.5,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
5.6,8.1,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
6.4,9.2,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
8,11.7,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
10,13.8,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
14,14,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
18,11.5,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
20,10.4,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
25,7.5,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
35,4.6,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
40,3.8,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
42,3.5,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
50,2.7,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
56,2.2,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
75,1.35,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
100,0.8,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
150,0.4,LXCat:Puech database:ELASTIC,Puech database,ELASTIC,Ar
